rank,name,country_name,country_id,active,rating,decidingSets,fifthSets,finals,tieBreaks,decidingSetTieBreaks,fifthSetsPct,pointsWon,tieBreaksPct,decidingSetsPct,decidingSetTieBreaksPct,finalsPct,pointsLost
1,Novak Djokovic,Serbia,SRB,true,2.296,197-75,35-10,86-38,283-154,20-9,77.8%,939,64.8%,72.4%,69.0%,69.4%,409
2,Bjorn Borg,Sweden,SWE,false,2.278,121-43,27-6,66-26,98-81,14-6,81.8%,540,54.7%,73.8%,70.0%,71.7%,237
3,Rod Laver,Australia,AUS,false,2.152,147-65,25-9,72-27,70-54,10-8,73.5%,568,56.5%,69.3%,55.6%,72.7%,264
4,Kei Nishikori,Japan,JPN,true,2.031,147-56,26-7,12-14,137-95,15-8,78.8%,522,59.1%,72.4%,65.2%,46.2%,257
5,Pete Sampras,United States,USA,false,2.000,189-88,33-15,64-24,328-194,30-17,68.8%,930,62.8%,68.2%,63.8%,72.7%,465
6,John McEnroe,United States,USA,false,1.995,165-75,25-13,76-31,189-119,11-10,65.8%,732,61.4%,68.8%,52.4%,71.0%,367
7,Rafael Nadal,Spain,ESP,true,1.970,177-79,24-12,91-38,258-164,23-17,66.7%,865,61.1%,69.1%,57.5%,70.5%,439
8,Andy Murray,United Kingdom,GBR,true,1.941,173-75,26-13,46-23,212-139,22-12,66.7%,724,60.4%,69.8%,64.7%,66.7%,373
9,Thomas Muster,Austria,AUT,false,1.937,170-87,17-9,44-10,166-113,19-9,65.4%,647,59.5%,66.1%,67.9%,81.5%,334
10,Jimmy Connors,United States,USA,false,1.901,235-107,27-16,109-50,227-161,25-16,62.8%,994,58.5%,68.7%,61.0%,68.6%,523
11,Alex Metreveli,Russian Federation,RUS,false,1.852,77-35,16-5,11-6,39-41,3-2,76.2%,250,48.8%,68.8%,60.0%,64.7%,135
12,Roger Federer,Switzerland,SUI,true,1.805,232-128,31-23,103-53,463-246,36-28,57.4%,1231,65.3%,64.4%,56.3%,66.0%,682
13,Johan Kriek,United States,USA,false,1.780,125-60,18-4,14-13,126-95,14-6,81.8%,454,57.0%,67.6%,70.0%,51.9%,255
14,Richard Pancho Gonzales,United States,USA,false,1.764,45-26,10-5,9-7,26-13,3-0,66.7%,157,66.7%,63.4%,100.0%,56.3%,89
15,John Newcombe,Australia,AUS,false,1.740,129-67,29-13,41-30,131-82,7-6,69.0%,536,61.5%,65.8%,53.8%,57.7%,308
16,Boris Becker,Germany,GER,false,1.728,163-80,32-15,49-28,241-163,14-21,68.1%,743,59.7%,67.1%,40.0%,63.6%,430
17,Ivan Lendl,United States,USA,false,1.718,182-95,35-22,92-50,240-157,13-16,61.4%,871,60.5%,65.7%,44.8%,64.8%,507
18,Jose Luis Clerc,Argentina,ARG,false,1.699,82-48,17-9,25-10,64-47,4-5,65.4%,316,57.7%,63.1%,44.4%,71.4%,186
19,Jose Higueras,Spain,ESP,false,1.687,129-71,10-2,16-12,67-53,6-4,83.3%,383,55.8%,64.5%,60.0%,57.1%,227
20,Juan Martin Del Potro,Argentina,ARG,true,1.675,97-47,8-9,22-13,157-112,16-5,47.1%,427,58.4%,67.4%,76.2%,62.9%,255